episode,r0_hit_rate,r1_hit_rate,both_hit_rate,r0_hunt_rate,r1_hunt_rate,both_hunt_rate,r0_offensive,r1_offensive,r2_kill_rate
100000,0.000000,0.140000,0.000000,0.000000,0.140000,0.000000,0.000000,1.000000,0.000000
300000,0.120000,0.580000,0.000000,0.120000,0.580000,0.000000,1.000000,1.000000,0.000000
500000,0.500000,0.080000,0.040000,0.480000,0.080000,0.040000,0.986667,1.000000,0.000000
700000,0.100000,0.220000,0.020000,0.100000,0.200000,0.020000,1.000000,0.968750,0.000000
900000,0.420000,0.160000,0.040000,0.420000,0.140000,0.040000,1.000000,0.956522,0.000000
1100000,0.060000,0.100000,0.000000,0.060000,0.080000,0.000000,0.800000,0.900000,0.000000
1300000,0.120000,0.060000,0.000000,0.120000,0.060000,0.000000,1.000000,1.000000,0.000000
1400000,0.120000,0.080000,0.020000,0.100000,0.060000,0.000000,0.923077,0.875000,0.000000
1600000,0.160000,0.000000,0.000000,0.160000,0.000000,0.000000,0.903226,0.000000,0.000000
1800000,0.600000,0.060000,0.040000,0.600000,0.060000,0.040000,1.000000,1.000000,0.000000
2000000,0.060000,0.160000,0.000000,0.060000,0.160000,0.000000,1.000000,1.000000,0.000000
2200000,0.000000,0.020000,0.000000,0.000000,0.020000,0.000000,0.000000,1.000000,0.000000
2400000,0.240000,0.060000,0.000000,0.240000,0.060000,0.000000,0.950000,1.000000,0.000000
2600000,0.240000,0.180000,0.100000,0.240000,0.180000,0.100000,0.925000,1.000000,0.000000
2800000,0.080000,0.200000,0.040000,0.080000,0.180000,0.040000,0.923077,0.923077,0.000000
3000000,0.080000,0.160000,0.020000,0.080000,0.100000,0.020000,0.888889,0.666667,0.000000
3200000,0.160000,0.060000,0.000000,0.140000,0.040000,0.000000,0.888889,0.666667,0.000000
3400000,0.400000,0.020000,0.020000,0.380000,0.000000,0.000000,0.979381,0.000000,0.000000
3500000,0.220000,0.140000,0.060000,0.200000,0.140000,0.060000,0.941176,1.000000,0.000000
3700000,0.100000,0.120000,0.020000,0.080000,0.120000,0.020000,0.900000,1.000000,0.000000
3900000,0.200000,0.020000,0.000000,0.160000,0.020000,0.000000,0.842105,1.000000,0.000000
4100000,0.140000,0.100000,0.020000,0.120000,0.080000,0.000000,0.625000,0.800000,0.000000
4300000,0.100000,0.060000,0.000000,0.100000,0.060000,0.000000,0.714286,1.000000,0.000000
4500000,0.160000,0.180000,0.000000,0.160000,0.180000,0.000000,0.866667,1.000000,0.000000
4700000,0.120000,0.100000,0.000000,0.120000,0.080000,0.000000,0.800000,0.909091,0.000000
